stored_id,store_area,sotre_open,store_address
충남 천안시 동남구,순천향대학교 천안병원 외래점,영업중,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 순천향대학교천안병원) 외래센터 2층"
충남 천안시 동남구,순천향대학교 천안병원 본관점,영업중,"충청남도 천안시 동남구 순천향6길 31 (봉명동, 순천향대학교천안병원) 본관 1층"
충남 공주시,(천)이인휴게소점,영업중,충청남도 공주시 이인면 논산천안고속도로 32 (이인상행휴게소) .
충남 공주시,(논)탄천휴게소2호점,영업중,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .
제주 제주시,이도점,영업중,"제주특별자치도 제주시 중앙로 302 (이도이동, 더스프링) ."
서울 마포구,연트럴파크점,영업중,서울특별시 마포구 동교로 233 (연남동) .
서울 강남구,강남우리라운지점,영업중,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 1층
경기 수원시,수원영통점,영업중,경기도 수원시 영통구 청명남로 10 영통동 1000-1
경기 고양시 덕양구,원흥역점,영업중,경기 고양시 덕양구 권율대로 690 201동 108호~111호
서울 용산구,이태원역점,영업중,서울특별시 용산구 이태원로 180 2층~3층
